lista,participantes,par,nomes,transcript,mantem,motivo
1,1jj,parF.redondo,trombolenes,tr~o-bo-'le-nes,s,
2,2a,parA.pontudo,Cracote,kra-'ko-te,s,
2,2b,parA.pontudo,Poteco,po-'te-ko,s,
2,2c,parA.pontudo,Gaplasteto,ga-plas-'te-to,s,
2,2d,parA.pontudo,bumbei,b~u-'bej,s,
2,2e,parA.pontudo,pentu pa,p~e-'tu 'pa,s,
2,2f,parA.pontudo,bango,b~a-go,s,
2,2g,parA.pontudo,Cruek,kru-'e-ki,n,outro
2,2h,parA.pontudo,Camide,ka-'mi-de,s,
2,2i,parA.pontudo,Datuh,da-tuh,n,ortografia
2,2j,parA.pontudo,exporpra,eS-'poR-pra,s,
2,2k,parA.pontudo,Explosão,es-plo-'z~aw,n,palavra do pb
2,2l,parA.pontudo,Danlieo,d~a-li-'e-o,s,
2,2m,parA.pontudo,Bomte,b~o-te,s,
2,2n,parA.pontudo,Criloma,kri-'lo-ma,s,
2,2o,parA.pontudo,Peque,pe-ke,s,
2,2p,parA.pontudo,Quefisseri,ke-fi-se-'ri,s,
2,2q,parA.pontudo,Crápide,kra-pi-de,s,
2,2r,parA.pontudo,Fricodo,fri-'ko-do,s,
2,2s,parA.pontudo,tuluco,tu-'lu-ko,s,
2,2t,parA.pontudo,Capontitas,ka-p~o-'ti-tas,s,
2,2u,parA.pontudo,Tenaco,te-'na-ko,s,
2,2v,parA.pontudo,Explosigudas,es-plo-zi-'gu-das,n,palavra do pb
2,2w,parA.pontudo,Fiuíp,fiw-'i-pi,n,outro
2,2y,parA.pontudo,Bejunto,be-'Z~u-to,s,
2,2z,parA.pontudo,Plaustivelderado,plaws-ti-vew-de-'ra-do,n,outro
2,2aa,parA.pontudo,croncni,kr~o-ki-'ni,n,outro
2,2bb,parA.pontudo,Exploreta,es-plo-'re-ta,n,palavra do pb
2,2dd,parA.pontudo,braca,bra-ka,s,
2,2ee,parA.pontudo,britio,bri-'tio,s,
2,2ff,parA.pontudo,Traca,tra-ka,s,
2,2gg,parA.pontudo,gaban,ga-b~a,s,
2,2hh,parA.pontudo,trisa,tri-za,s,
2,2ii,parA.pontudo,Poglafaco,po-gla-'fa-ko,s,
2,2jj,parA.pontudo,bazitre,ba-'zi-tre,s,
2,2a,parA.redondo,Medongue,me-'d~o-ge,s,
2,2b,parA.redondo,Pinonha,pi-'no-Na,s,
2,2c,parA.redondo,Cotrederado,ko-tre-de-'ra-do,s,
2,2d,parA.redondo,fogolo,fo-'go-lo,s,
2,2e,parA.redondo,zlup tutu,zlu-pi tu-'tu,n,outro
2,2f,parA.redondo,falora,fa-'lo-ra,s,
2,2g,parA.redondo,Linguie,l~i-'gi-e,s,
2,2h,parA.redondo,Goluli,go-lu-'li,s,
2,2i,parA.redondo,Bulerim,bu-le-'r~i,s,
2,2j,parA.redondo,expomblo,eS-'p~o-blo,s,
2,2k,parA.redondo,Flor,floR,n,palavra do pb
2,2l,parA.redondo,Amiea,a-mi-'e-a,s,
2,2m,parA.redondo,Prinido,pri-'ni-do,s,
2,2n,parA.redondo,Minoma,mi-'no-ma,s,
2,2o,parA.redondo,Monsco,m~os-ko,s,
2,2p,parA.redondo,Fagavora,fa-ga-'vo-ra,s,
2,2q,parA.redondo,Viel,vi-'ew,s,
2,2r,parA.redondo,Miuquê,miw-'ke,s,
2,2s,parA.redondo,runca,h~u-ka,s,
2,2t,parA.redondo,nufufu,nu-fu-'fu,s,
2,2u,parA.redondo,Coloto,ko-'lo-to,s,
2,2v,parA.redondo,Amebafazes,a-me-ba-'fa-zes,s,
2,2w,parA.redondo,Crequelec,kre-ke-'le-c,s,
2,2y,parA.redondo,Polincas,po-'l~i-kas,s,
2,2z,parA.redondo,Mobumabimostinino,mo-bu-ma-bi-mos-ti-'ni-no,n,outro
2,2aa,parA.redondo,ovaluna,o-va-'lu-na,s,
2,2bb,parA.redondo,Crocalador,kro-ka-la-'doR,s,
2,2dd,parA.redondo,lombe,l~o-be,s,
2,2ee,parA.redondo,univo,u-'ni-vo,s,
2,2ff,parA.redondo,Melbi,mew-'bi,s,
2,2gg,parA.redondo,incobrio,~i-ko-'brio,s,
2,2hh,parA.redondo,omuna,o-'mu-na,s,
2,2ii,parA.redondo,Teragolhito,te-ra-go-'Li-to,s,
2,2jj,parA.redondo,anluna,~a-'lu-na,s,
2,2a,parB.pontudo,Bridoquê,bri-do-'ke,s,
2,2b,parB.pontudo,Ondonto,~o-'d~o-to,s,
2,2c,parB.pontudo,Asprado,as-'pra-do,s,
2,2d,parB.pontudo,créf,kre-fi,n,outro
2,2e,parB.pontudo,zibzibzib,zi-bi-zi-bi-'zi-bi,n,onomatopeia
2,2f,parB.pontudo,meba,me-ba,s,
2,2g,parB.pontudo,Tracuia,tra-'kuja,s,
2,2h,parB.pontudo,Kolumei,ko-lu-'mej,s,
2,2i,parB.pontudo,Olandriu,o-l~a-'driw,s,
2,2j,parB.pontudo,guzizata,gu-zi-'za-ta,s,
2,2k,parB.pontudo,Miojo kk,mi-'o-Zo 'ki-ki,n,palavra do pb
2,2l,parB.pontudo,Siul,si'uw,s,
2,2m,parB.pontudo,Friste,fris-te,s,
